Date,Category,UAH
2023-03-15 12:48:00.884,МЛПК,639509.0
2023-03-15 14:48:00.907,МЛПК,5939892.0
2023-03-16 11:52:00.946,МЛПК,1905000.0
2023-03-31 10:03:00.133,МЛПК,1279018.0
2023-04-10 12:15:00.619,Лопати + Антени + Піротехніка + Планшети,225000.0
2023-05-03 05:57:00.785,Лопати + Антени + Піротехніка + Планшети,142500.0
2023-05-09 12:09:00.130,Лопати + Антени + Піротехніка + Планшети,237552.0
2023-05-12 05:21:00.592,Люті пташки,890000.0
2023-05-16 12:03:00.487,Люті пташки,1042555.0
2023-05-26 08:42:00.569,Люті пташки,1181250.0
2023-05-29 10:50:00.365,Люті пташки,1800000.0
2023-06-02 11:29:00.397,Лопати + Антени + Піротехніка + Планшети,142500.0
2023-06-12 09:37:00.020,МЛПК,659988.0
2023-06-21 07:02:00.027,Люті пташки,4392500.0
2023-07-19 06:02:00.077,Люті пташки,3377500.0
2023-07-19 06:02:00.997,Люті пташки,1713750.0
2023-07-31 12:57:00.720,Люті пташки,2960000.0
2023-08-03 10:40:00.437,Дрони для ТРО,915000.0
2023-08-15 09:04:00.308,Люті пташки,3525000.0
2023-08-21 11:12:00.153,МЛПК,1066000.0
2023-08-25 11:31:53.854,Продаж валюти,1462744.0
2023-08-28 12:01:00.534,1000 дронів для України,7515000.0
2023-09-05 12:20:00.968,Лопати + Антени + Піротехніка + Планшети,174420.0
2023-09-08 08:54:00.307,Люті пташки,950000.0
2023-09-12 10:53:00.049,Люті пташки,3525000.0
2023-09-13 11:58:00.191,Люті пташки,3552000.0
2023-09-14 11:50:00.187,МЛПК,533000.0
2023-09-20 10:47:00.669,На захисті краси України,1929000.0
2023-09-20 10:47:00.743,На захисті краси України,1290000.0
2023-09-29 06:19:00.044,Лопати + Антени + Піротехніка + Планшети,382000.0
2023-10-19 12:54:00.017,Victory Drones,192000.0
2023-10-19 12:54:00.846,Victory Drones,112000.0
2023-10-19 12:54:00.927,Victory Drones,144000.0
2023-10-20 09:01:00.133,На захисті краси України,3216000.0
2023-10-31 12:31:00.510,Victory Drones,160000.0
2023-11-01 18:57:00.601,Обладнання,4059600.0
2023-11-03 12:38:00.244,Victory Drones,176000.0
2023-11-03 12:38:00.322,Victory Drones,160000.0
2023-11-08 08:24:00.552,Люті пташки,3216000.0
2023-11-08 10:53:00.027,Victory Drones,208000.0
2023-11-08 10:53:00.789,Victory Drones,128000.0
2023-11-08 10:53:00.876,Victory Drones,224000.0
2023-11-08 10:53:00.947,Victory Drones,160000.0
2023-11-09 11:15:00.048,Victory Drones,213850.0
2023-11-10 10:24:00.475,,382000.0
2023-11-16 06:32:00.154,Victory Drones,256000.0
2023-11-16 06:32:00.397,Victory Drones,224000.0
2023-11-20 07:37:00.833,Люті пташки,1600000.0
2023-11-23 06:06:00.492,Лопати + Антени + Піротехніка + Планшети,305600.0
2023-11-28 09:24:00.516,,3690000.0
2023-11-28 10:14:00.481,,1200000.0
2023-11-30 08:12:00.994,Адмін,105857.5
2023-12-04 11:21:00.929,,196800.0
2023-12-11 09:16:00.702,,1968000.0
2023-12-13 04:35:00.016,Victory Drones,179200.0
2023-12-13 04:35:00.088,Victory Drones,169600.0
2023-12-13 04:35:00.168,Victory Drones,208000.0
2023-12-13 04:35:00.245,Victory Drones,217600.0
2023-12-13 04:35:00.323,Victory Drones,153600.0
2023-12-13 04:35:00.464,Victory Drones,132000.0
2023-12-13 04:35:00.536,Victory Drones,469350.0
2023-12-13 04:35:00.693,Victory Drones,236800.0
2023-12-13 04:35:00.771,Victory Drones,233600.0
2023-12-13 04:35:00.850,Victory Drones,201600.0
2023-12-13 04:35:00.935,Victory Drones,214400.0
2023-12-13 04:45:00.057,Victory Drones,108000.0
2023-12-13 04:45:00.134,Victory Drones,120000.0
2023-12-15 11:09:00.650,,1771200.0
2023-12-18 07:34:00.535,,299880.0
2023-12-20 08:05:00.758,Victory Drones,185600.0
2023-12-20 08:05:00.762,Victory Drones,384000.0
2023-12-22 07:29:00.722,,930000.0
2023-12-22 12:37:00.386,Victory Drones,2272250.0
2023-12-22 12:48:00.470,,962912.5
2023-12-26 06:35:00.423,,299880.0
